iter	Passed	Remaining
0	161	161180
1	162	81305
2	164	54522
3	165	41130
4	166	33101
5	167	27733
6	168	23899
7	169	21022
8	170	18785
9	171	16992
10	172	15527
11	173	14308
12	174	13274
13	175	12391
14	177	11623
15	178	10955
16	179	10371
17	180	9847
18	181	9380
19	182	8955
20	183	8570
21	184	8220
22	186	7902
23	187	7609
24	188	7340
25	189	7092
26	190	6862
27	191	6647
28	192	6448
29	193	6261
30	194	6086
31	195	5921
32	196	5769
33	197	5623
34	199	5486
35	200	5357
36	201	5235
37	202	5119
38	203	5008
39	204	4903
40	205	4805
41	206	4715
42	207	4624
43	208	4537
44	209	4454
45	210	4375
46	212	4298
47	213	4225
48	214	4156
49	215	4090
50	216	4025
51	217	3963
52	218	3903
53	219	3846
54	220	3793
55	221	3740
56	223	3690
57	224	3641
58	225	3595
59	226	3547
60	227	3501
61	228	3457
62	229	3415
63	230	3373
64	231	3333
65	232	3294
66	233	3256
67	234	3213
68	235	3179
69	236	3144
70	237	3110
71	238	3077
72	239	3044
73	240	3013
74	241	2982
75	242	2953
76	243	2924
77	245	2896
78	246	2869
79	247	2842
80	248	2816
81	249	2790
82	250	2765
83	251	2740
84	252	2713
85	253	2690
86	253	2663
87	254	2641
88	255	2620
89	257	2598
90	258	2577
91	259	2557
92	260	2537
93	261	2517
94	262	2498
95	263	2479
96	264	2461
97	265	2443
98	266	2425
99	267	2408
100	268	2391
101	269	2369
102	270	2353
103	271	2337
104	272	2321
105	273	2305
106	274	2289
107	275	2274
108	276	2260
109	277	2245
110	278	2230
111	279	2216
112	280	2202
113	281	2188
114	282	2175
115	283	2160
116	284	2147
117	285	2134
118	286	2120
119	287	2108
120	288	2095
121	289	2083
122	290	2068
123	291	2056
124	292	2045
125	293	2034
126	294	2023
127	295	2009
128	296	1998
129	297	1988
130	298	1977
131	299	1967
132	300	1957
133	301	1946
134	302	1937
135	303	1927
136	304	1917
137	305	1906
138	306	1897
139	307	1888
140	308	1879
141	309	1869
142	310	1860
143	311	1851
144	312	1843
145	313	1834
146	314	1825
147	315	1817
148	316	1809
149	317	1801
150	319	1794
151	320	1786
152	321	1778
153	322	1771
154	323	1763
155	324	1755
156	325	1747
157	326	1740
158	327	1732
159	328	1724
160	329	1717
161	330	1710
162	331	1703
163	332	1696
164	333	1689
165	334	1682
166	335	1675
167	336	1668
168	338	1662
169	339	1655
170	340	1649
171	341	1642
172	342	1635
173	343	1629
174	344	1622
175	345	1616
176	346	1610
177	347	1604
178	348	1598
179	349	1592
180	350	1583
181	351	1577
182	352	1572
183	353	1566
184	354	1561
185	355	1555
186	356	1550
187	357	1545
188	358	1539
189	359	1534
190	361	1529
191	362	1524
192	363	1519
193	364	1514
194	365	1509
195	366	1505
196	368	1500
197	369	1495
198	370	1490
199	371	1485
200	372	1480
201	373	1475
202	374	1471
203	375	1466
204	377	1462
205	378	1457
206	379	1453
207	380	1449
208	381	1445
209	383	1441
210	384	1437
211	385	1433
212	386	1429
213	387	1424
214	389	1420
215	390	1417
216	391	1412
217	392	1408
218	393	1403
219	394	1399
220	395	1395
221	396	1390
222	397	1386
223	399	1382
224	400	1377
225	401	1373
226	402	1369
227	403	1364
228	404	1360
229	405	1356
230	406	1352
231	407	1348
232	408	1344
233	409	1340
234	410	1336
235	411	1331
236	412	1327
237	413	1324
238	414	1320
239	415	1316
240	416	1312
241	417	1308
242	418	1304
243	419	1300
244	420	1296
245	421	1292
246	422	1289
247	423	1285
248	424	1281
249	425	1277
250	427	1274
251	428	1270
252	429	1266
253	430	1263
254	431	1259
255	432	1255
256	433	1252
257	434	1248
258	435	1245
259	436	1241
260	437	1238
261	438	1234
262	439	1231
263	440	1227
264	441	1224
265	442	1221
266	443	1217
267	444	1214
268	445	1210
269	446	1207
270	447	1204
271	448	1200
272	449	1197
273	450	1194
274	451	1191
275	452	1187
276	453	1184
277	455	1181
278	456	1178
279	457	1175
280	458	1172
281	459	1169
282	460	1166
283	461	1162
284	462	1159
285	463	1156
286	464	1153
287	465	1151
288	466	1148
289	468	1146
290	469	1143
291	470	1140
292	476	1149
293	479	1152
294	481	1150
295	483	1149
296	484	1147
297	486	1146
298	487	1143
299	489	1141
300	490	1139
301	491	1136
302	493	1135
303	495	1133
