iter	Passed	Remaining
0	167	167548
1	169	84437
2	171	57038
3	172	43068
4	174	34689
5	175	29092
6	176	25092
7	178	22112
8	180	19880
9	181	18013
10	183	16485
11	184	15214
12	186	14128
13	187	13208
14	189	12459
15	191	11751
16	192	11126
17	193	10569
18	195	10076
19	196	9632
20	198	9240
21	199	8889
22	201	8552
23	202	8246
24	204	7959
25	205	7693
26	206	7449
27	209	7261
28	211	7072
29	213	6901
30	214	6714
31	216	6536
32	217	6383
33	219	6234
34	220	6086
35	223	5987
36	225	5874
37	228	5795
38	230	5678
39	231	5560
40	233	5450
41	234	5343
42	235	5248
43	237	5164
44	239	5074
45	240	4985
46	241	4901
47	242	4818
48	244	4741
49	246	4679
50	247	4610
51	249	4543
52	250	4474
53	251	4411
54	253	4350
55	254	4289
56	256	4240
57	257	4189
58	259	4134
59	260	4081
60	261	4029
61	263	3979
62	264	3932
63	266	3891
64	267	3847
65	268	3803
66	270	3760
67	271	3719
68	272	3679
69	273	3639
70	275	3602
71	277	3572
72	278	3536
73	279	3500
74	281	3465
75	282	3431
76	283	3399
77	284	3366
78	286	3338
79	287	3307
80	288	3277
81	290	3249
82	290	3213
83	292	3186
84	293	3158
85	294	3130
86	296	3112
87	298	3089
88	299	3064
89	300	3039
90	302	3016
91	303	2993
92	305	2975
93	307	2961
94	308	2938
95	309	2917
96	311	2896
97	312	2874
98	313	2854
99	316	2848
100	317	2829
101	319	2809
102	320	2791
103	321	2773
104	323	2755
105	325	2746
106	327	2733
107	328	2716
108	330	2697
109	331	2680
110	332	2664
111	334	2649
112	335	2637
113	337	2621
114	338	2604
115	339	2589
116	340	2572
117	342	2556
118	343	2541
119	345	2530
120	347	2521
121	348	2509
122	350	2495
123	351	2481
124	352	2469
125	353	2455
126	355	2445
127	357	2432
128	358	2421
129	359	2408
130	361	2396
131	362	2383
132	363	2370
133	365	2359
134	367	2353
135	368	2341
136	369	2329
137	371	2318
138	372	2308
139	373	2296
140	375	2286
141	378	2285
142	379	2274
143	380	2263
144	382	2252
145	383	2242
146	384	2233
147	387	2230
148	388	2221
149	391	2216
150	392	2207
151	394	2199
152	396	2193
153	397	2184
154	398	2175
155	400	2166
156	401	2157
157	403	2149
158	405	2143
159	406	2136
160	407	2125
161	409	2116
162	410	2107
163	411	2098
164	412	2089
165	414	2084
166	416	2075
167	417	2066
168	418	2058
169	419	2050
170	421	2042
171	422	2034
172	423	2026
173	425	2019
174	426	2011
175	427	2002
176	428	1993
177	429	1985
178	431	1977
179	432	1970
180	433	1963
181	435	1955
